vacancy_name,company,link,salary_min,salary_max,salary_currency
Technical Support Engineer / Инженер по сопровождению торговой платформы,ООО НТ Прогресс,https://reutov.hh.ru/vacancy/73987245?from=vacancy_search_list&query=python,,,not stated
Преподаватель дисциплин по IT,Международный колледж IThub,https://reutov.hh.ru/vacancy/74242138?from=vacancy_search_list&query=python,,,not stated
Инженер SIEM,Angara Security,https://reutov.hh.ru/vacancy/77011104?from=vacancy_search_list&query=python,,,not stated
Инженер по автоматизации тестирования,ООО БОЛЬШАЯ ТРОЙКА,https://reutov.hh.ru/vacancy/76963515?from=vacancy_search_list&query=python,,,not stated
Преподаватель онлайн курсов в сфере IT,Компьютерная Академия Top,https://reutov.hh.ru/vacancy/76011659?from=vacancy_search_list&query=python,,,not stated
Python-разработчик (VK People Hub),"VK, Цифровые технологии",https://reutov.hh.ru/vacancy/76645594?from=vacancy_search_list&query=python,,,not stated
Data Analyst / Аналитик данных,КБ Стрелка,https://reutov.hh.ru/vacancy/72492020?from=vacancy_search_list&query=python,100000.0,120000.0,руб.
QA engineer (python),Staffwell,https://reutov.hh.ru/vacancy/76407489?from=vacancy_search_list&query=python,,160000.0,руб.
Python-разработчик,Star-Staff,https://reutov.hh.ru/vacancy/76469323?from=vacancy_search_list&query=python,,250000.0,руб.
Преподаватель программирования / Учитель информатики,ООО Консалтинговая группа Финиум,https://reutov.hh.ru/vacancy/75751534?from=vacancy_search_list&query=python,80000.0,80000.0,руб.
Аналитик,Исраелян Ерем Давидович,https://reutov.hh.ru/vacancy/76888694?from=vacancy_search_list&query=python,50000.0,130000.0,руб.
Преподаватель робототехники,Клуб робототехники MyRoboclub,https://reutov.hh.ru/vacancy/76889532?from=vacancy_search_list&query=python,20000.0,80000.0,руб.
Преподаватель детских компьютерных курсов,Компьютерная Академия Top,https://reutov.hh.ru/vacancy/76452337?from=vacancy_search_list&query=python,50000.0,80000.0,руб.
Младший биоинформатик,ФГБУ НМИЦ эндокринологии Минздрава России,https://reutov.hh.ru/vacancy/76714315?from=vacancy_search_list&query=python,60000.0,,руб.
Главный разработчик Python,АО НПФ ЭВОЛЮЦИЯ,https://reutov.hh.ru/vacancy/70093763?from=vacancy_search_list&query=python,100000.0,200000.0,руб.
Python разработчик (Middle),QSOFT,https://reutov.hh.ru/vacancy/76663113?from=vacancy_search_list&query=python,,,not stated
Главный разработчик Python/JS,"МАГНИТ, Розничная сеть",https://reutov.hh.ru/vacancy/76779281?from=vacancy_search_list&query=python,,,not stated
Python-разработчик,Сбер. IT,https://reutov.hh.ru/vacancy/75700571?from=vacancy_search_list&query=python,,,not stated
Python-разработчик в Цифровые поверхности Салют (Сценарная разработка),Сбер. IT,https://reutov.hh.ru/vacancy/75888105?from=vacancy_search_list&query=python,,,not stated
Junior Python Developer (удалённо),Azur Games,https://reutov.hh.ru/vacancy/76264505?from=vacancy_search_list&query=python,,,not stated
Middle python developer,Группа НЛМК ИТ и Диджитал,https://reutov.hh.ru/vacancy/76715975?from=vacancy_search_list&query=python,,,not stated
Инженер-программист (алгоритмист),АО НТЦ Модуль,https://reutov.hh.ru/vacancy/76764672?from=vacancy_search_list&query=python,,,not stated
Разработчик Python+MS SQL+1C,"АЛИДИ, Группа компаний",https://reutov.hh.ru/vacancy/76852114?from=vacancy_search_list&query=python,,,not stated
Программист Linux С/Python,ООО Ред Софт,https://reutov.hh.ru/vacancy/76807924?from=vacancy_search_list&query=python,,,not stated
Fullstack QA Engineer (Python),СберМаркет,https://reutov.hh.ru/vacancy/76870915?from=vacancy_search_list&query=python,,,not stated
Преподаватель IT курсов онлайн,ООО Отус,https://reutov.hh.ru/vacancy/76409000?from=vacancy_search_list&query=python,,,not stated
Senior Python Developer,Whoosh (ООО Вуш),https://reutov.hh.ru/vacancy/68492110?from=vacancy_search_list&query=python,250000.0,350000.0,руб.
